,Date,Favourites,Retweets,Timezone,Compound,Positive,Neutral,Negative,Physical Health,Learning and Career,Mental Wellbeing,Finances,Relationships,Travel and Holidays,Five or more favourites
98,Tue Jan 03 09:07:21 +0000 2017,2,1,Brisbane,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
99,Tue Jan 03 09:07:11 +0000 2017,0,0,Pacific Time (US & Canada),0.7003,0.592,0.408,0.0,0,0,0,0,0,0,0
100,Tue Jan 03 09:06:58 +0000 2017,5,0,Urumqi,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1
101,Tue Jan 03 09:06:35 +0000 2017,1,0,Pacific Time (US & Canada),-0.2508,0.0,0.857,0.143,0,0,0,0,0,0,0
102,Tue Jan 03 09:06:32 +0000 2017,0,0,London,0.711,0.191,0.809,0.0,0,1,0,0,0,0,0
103,Tue Jan 03 09:06:31 +0000 2017,3,0,Adelaide,-0.296,0.0,0.864,0.136,0,0,0,0,0,0,0
104,Tue Jan 03 09:06:31 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
105,Tue Jan 03 09:06:24 +0000 2017,1,0,Pacific Time (US & Canada),-0.5719,0.0,0.684,0.316,0,0,0,0,0,0,0
106,Tue Jan 03 09:06:00 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
107,Tue Jan 03 09:06:00 +0000 2017,2,0,London,0.2732,0.13,0.87,0.0,0,1,0,0,0,0,0
108,Tue Jan 03 09:05:43 +0000 2017,3,0,Pacific Time (US & Canada),-0.5423,0.0,0.788,0.212,0,0,0,0,0,0,0
109,Tue Jan 03 09:05:25 +0000 2017,2,0,,-0.6222,0.0,0.805,0.195,1,0,0,0,1,0,0
110,Tue Jan 03 09:05:15 +0000 2017,0,0,,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
111,Tue Jan 03 09:05:14 +0000 2017,0,0,London,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
112,Tue Jan 03 09:05:01 +0000 2017,0,0,Mountain Time (US & Canada),-0.296,0.0,0.833,0.167,0,0,0,0,0,0,0
113,Tue Jan 03 09:04:53 +0000 2017,3,0,Sydney,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
114,Tue Jan 03 09:04:53 +0000 2017,0,0,Beijing,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0
